open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-29,112163.96,114400.0,111560.65,114311.96,15541.12005,2025-09-29 23:59:59.999,1755247635.871136,2442653,7836.68768,884934987.568753,0
2025-09-30,114311.97,114792.0,112656.27,114048.93,15044.15633,2025-09-30 23:59:59.999,1710713267.1300955,3018331,7185.72154,817044461.2701815,0
2025-10-01,114048.94,118649.1,113966.67,118594.99,20036.39516,2025-10-01 23:59:59.999,2332096981.2659335,3430343,10071.04092,1172422657.4065175,0
2025-10-02,118594.99,121022.07,118279.31,120529.35,19670.83503,2025-10-02 23:59:59.999,2349861127.3445807,3472073,9753.07848,1164986423.9898076,0
2025-10-03,120529.35,123894.99,119248.3,122232.0,23936.328,2025-10-03 23:59:59.999,2907381076.6813188,4246820,11288.62355,1372792607.6136215,0
2025-10-04,122232.21,122800.0,121510.0,122391.0,8208.16678,2025-10-04 23:59:59.999,1002272903.3446472,1703590,3767.80335,460154433.1236619,0
2025-10-05,122390.99,125708.42,122136.0,123482.31,22043.097553,2025-10-05 23:59:59.999,2730817470.939564,3690670,11780.672403,1459478400.9109962,0
2025-10-06,123482.32,126199.63,123084.0,124658.54,19494.628793,2025-10-06 23:59:59.999,2428828952.2653184,4206167,9963.008153,1241625129.7177184,0
2025-10-07,124658.54,125126.0,120574.94,121332.95,21633.99385,2025-10-07 23:59:59.999,2657405799.8705487,4390785,9699.35099,1191947741.6989057,0
2025-10-08,121332.96,124197.25,121066.14,123306.0,17012.618,2025-10-08 23:59:59.999,2084842842.441617,4184997,9039.06222,1107976264.6948595,0
2025-10-09,123306.01,123762.94,119651.47,121662.4,21559.36007,2025-10-09 23:59:59.999,2621438087.566733,4231167,10144.15364,1233882833.5642388,0
2025-10-10,121662.41,122550.0,102000.0,112774.5,64171.93927,2025-10-10 23:59:59.999,7349750905.041158,11404522,30502.14297,3493298452.846008,0
2025-10-11,112774.49,113322.39,109561.59,110644.4,35448.51652,2025-10-11 23:59:59.999,3961069473.2311363,6661929,15375.94796,1718429599.5669522,0
2025-10-12,110644.4,115770.0,109565.06,114958.8,32255.30272,2025-10-12 23:59:59.999,3638546528.7401557,6048575,16915.44533,1907676479.1772509,0
2025-10-13,114958.81,115963.81,113616.5,115166.0,22557.24033,2025-10-13 23:59:59.999,2591831660.9857492,5739352,10710.89723,1230950583.8424666,0
2025-10-14,115166.0,115409.96,109866.0,113028.14,31870.32974,2025-10-14 23:59:59.999,3578140778.808499,7425642,14944.19197,1677011392.6343808,0
2025-10-15,113028.13,113612.35,110164.0,110763.28,22986.48811,2025-10-15 23:59:59.999,2569639641.3527684,5243141,10499.31831,1173678794.920774,0
2025-10-16,110763.28,111982.45,107427.0,108194.28,29857.17252,2025-10-16 23:59:59.999,3277596494.7619195,6127094,13126.95119,1441416875.126377,0
2025-10-17,108194.27,109240.0,103528.23,106431.68,37920.66838,2025-10-17 23:59:59.999,4022645635.221202,7570685,17996.99946,1909654487.4562209,0
2025-10-18,106431.68,107499.0,106322.2,107185.01,11123.18766,2025-10-18 23:59:59.999,1189002999.143113,2105450,4845.85641,518065716.6618129,0
2025-10-19,107185.0,109450.07,106103.36,108642.78,15480.66423,2025-10-19 23:59:59.999,1670074079.5802343,3205640,7100.31013,766423535.8177378,0
