open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-11-27 02:00:00,143.3,144.14,142.35,142.52,237981.298,2025-11-27 03:59:59.999,34098062.64918,142867,104627.291,14993896.72173,0
2025-11-27 04:00:00,142.52,143.49,142.33,142.77,143632.246,2025-11-27 05:59:59.999,20513096.0076,96997,75484.827,10784271.09222,0
2025-11-27 06:00:00,142.78,144.29,142.77,143.77,191676.396,2025-11-27 07:59:59.999,27549156.71868,83565,87917.314,12637402.90695,0
2025-11-27 08:00:00,143.77,143.9,141.65,141.74,194838.592,2025-11-27 09:59:59.999,27774744.61644,99511,85514.526,12190609.08266,0
2025-11-27 10:00:00,141.74,142.35,141.51,142.08,130522.632,2025-11-27 11:59:59.999,18526689.06245,73226,74414.321,10564084.6587,0
2025-11-27 12:00:00,142.08,142.19,140.67,141.24,197858.097,2025-11-27 13:59:59.999,27956243.51272,103999,105723.034,14940794.05508,0
2025-11-27 14:00:00,141.24,142.54,140.85,142.15,209522.828,2025-11-27 15:59:59.999,29662160.35391,111782,132189.912,18713837.26502,0
2025-11-27 16:00:00,142.15,142.46,141.43,141.61,318605.726,2025-11-27 17:59:59.999,45228609.61757,117846,159739.616,22673918.25073,0
2025-11-27 18:00:00,141.6,143.15,141.52,142.73,229926.978,2025-11-27 19:59:59.999,32732276.35683,97179,109906.841,15643539.07272,0
2025-11-27 20:00:00,142.73,142.91,141.79,141.93,149830.142,2025-11-27 21:59:59.999,21344449.99981,79700,72303.295,10298478.71406,0
2025-11-27 22:00:00,141.93,142.04,140.47,140.85,137615.737,2025-11-27 23:59:59.999,19437327.34783,92917,59680.248,8430901.5353,0
2025-11-28 00:00:00,140.85,141.45,138.85,139.05,193344.254,2025-11-28 01:59:59.999,27080923.64042,133525,75164.86,10527779.07222,0
2025-11-28 02:00:00,139.06,139.87,138.59,139.68,220746.619,2025-11-28 03:59:59.999,30762332.77084,112984,108144.577,15073909.05864,0
