open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-29,0.23735,0.23896,0.22862,0.23478,968604652.0,2025-09-29 23:59:59.999,226412299.55434,1043096,481567000.0,112592577.06128,0
2025-09-30,0.23478,0.23592,0.2263,0.23293,761018697.0,2025-09-30 23:59:59.999,176002119.97493,1038031,343500367.0,79503732.61183,0
2025-10-01,0.23294,0.24921,0.23034,0.24906,1175210733.0,2025-10-01 23:59:59.999,284146170.38218,1196321,639949004.0,154852958.65703,0
2025-10-02,0.24906,0.26414,0.2467,0.262,1386592793.0,2025-10-02 23:59:59.999,354337073.29459,1631413,667566232.0,170726280.22358,0
2025-10-03,0.26201,0.26534,0.25274,0.25819,1381551315.0,2025-10-03 23:59:59.999,356895475.20819,1588814,633675906.0,163747847.93872,0
2025-10-04,0.25819,0.25979,0.2467,0.25084,885524209.0,2025-10-04 23:59:59.999,223172746.5259,956054,402338276.0,101343773.52513,0
2025-10-05,0.25085,0.26518,0.24953,0.25284,1454155392.0,2025-10-05 23:59:59.999,375343385.06292,1501952,672260614.0,173451886.07503,0
2025-10-06,0.25283,0.27044,0.25057,0.26603,1517510251.0,2025-10-06 23:59:59.999,398221535.62705,1650855,714073129.0,187319546.02169,0
2025-10-07,0.26604,0.26831,0.24622,0.24682,1838407762.0,2025-10-07 23:59:59.999,472158118.28653,1792338,829067171.0,212905069.92008,0
2025-10-08,0.24681,0.2611,0.24291,0.25564,1276623512.0,2025-10-08 23:59:59.999,321688079.17086,1378571,635824191.0,160138657.17828,0
2025-10-09,0.25565,0.25593,0.24099,0.24849,1415402413.0,2025-10-09 23:59:59.999,349529058.8239,1410249,671962605.0,165954660.1485,0
2025-10-10,0.2485,0.25403,0.095,0.19349,6030550997.0,2025-10-10 23:59:59.999,1219139327.47886,5176557,2731827970.0,551255518.11194,0
2025-10-11,0.19348,0.20048,0.17816,0.18527,4960779079.0,2025-10-11 23:59:59.999,950618505.36174,3794087,2500347760.0,479566181.06934,0
2025-10-12,0.18527,0.21421,0.18072,0.20717,3290490159.0,2025-10-12 23:59:59.999,656520684.11004,2515164,1681357231.0,335323558.57013,0
2025-10-13,0.20717,0.2183,0.20188,0.2138,2645862967.0,2025-10-13 23:59:59.999,554840730.14391,2290327,1315957303.0,276130765.27287,0
2025-10-14,0.2138,0.21565,0.1933,0.20437,2781575747.0,2025-10-14 23:59:59.999,561157934.54856,2922946,1301975186.0,262564441.30304,0
2025-10-15,0.20436,0.20853,0.1942,0.19621,1356303348.0,2025-10-15 23:59:59.999,272550379.38898,1773407,652210286.0,131084463.98595,0
2025-10-16,0.19621,0.2015,0.18469,0.1885,1903922965.0,2025-10-16 23:59:59.999,368375709.42337,2360389,934463874.0,180791296.45183,0
2025-10-17,0.1885,0.19114,0.17555,0.1847,1800990961.0,2025-10-17 23:59:59.999,328520532.36343,2384521,883554351.0,161304692.81403,0
2025-10-18,0.18471,0.19057,0.18426,0.18962,586500546.0,2025-10-18 23:59:59.999,110030658.32596,734133,289694527.0,54355030.07146,0
2025-10-19,0.18961,0.19861,0.186,0.19535,1044321198.0,2025-10-19 23:59:59.999,201455017.39781,1165044,502668436.0,97000242.04496,0
2025-10-20,0.19534,0.20249,0.19168,0.2,1140819006.0,2025-10-20 23:59:59.999,227058568.27568,1289248,531713339.0,105829733.79475,0
2025-10-21,0.2,0.20563,0.19201,0.19427,1456441398.0,2025-10-21 23:59:59.999,288958818.2335,1699566,663301778.0,131570021.61226,0
2025-10-22,0.19427,0.19544,0.18467,0.18993,1335843365.0,2025-10-22 23:59:59.999,254789363.78925,1665330,645713286.0,123198722.25386,0
2025-10-23,0.18993,0.19745,0.18959,0.19493,940124512.0,2025-10-23 23:59:59.999,182467433.02111,960482,459549104.0,89182119.43741,0
2025-10-24,0.19492,0.20095,0.19391,0.19775,762978840.0,2025-10-24 23:59:59.999,150122766.36847,777606,379767298.0,74747432.07033,0
2025-10-25,0.19774,0.19985,0.19595,0.19652,680294016.0,2025-10-25 23:59:59.999,134628322.50121,457707,264976068.0,52442343.23508,0
2025-10-26,0.19651,0.20742,0.19465,0.20577,909622908.0,2025-10-26 23:59:59.999,183148344.98835,770417,462072863.0,93076809.22405,0
2025-10-27,0.20577,0.20953,0.19887,0.20038,1010297382.0,2025-10-27 23:59:59.999,206851053.0037,1036931,494285131.0,101292590.33582,0
2025-10-28,0.20038,0.20311,0.19006,0.19362,1128616251.0,2025-10-28 23:59:59.999,223153868.71805,1271442,554690359.0,109749701.19016,0
2025-10-29,0.19362,0.19728,0.1871,0.19237,1276743754.0,2025-10-29 23:59:59.999,246724528.94368,1433067,612753124.0,118453501.46251,0
2025-10-30,0.19237,0.1946,0.17642,0.18268,1657462065.0,2025-10-30 23:59:59.999,305638364.9249,1956543,795504747.0,146715744.63142,0
2025-10-31,0.18268,0.18816,0.18228,0.18644,693564340.0,2025-10-31 23:59:59.999,128531571.40372,880427,347386716.0,64392010.41669,0
2025-11-01,0.18644,0.18837,0.18512,0.18736,381304623.0,2025-11-01 23:59:59.999,71209659.96216,422093,181277879.0,33856615.30916,0
2025-11-02,0.18736,0.18884,0.18172,0.18638,422142934.0,2025-11-02 23:59:59.999,78224426.82371,544434,202317692.0,37489144.06183,0
2025-11-03,0.18639,0.18666,0.16017,0.16741,2233966267.0,2025-11-03 23:59:59.999,381967727.8722,2350318,1084666860.0,185221318.7454,0
2025-11-04,0.16741,0.1711,0.15159,0.16223,3239546286.0,2025-11-04 23:59:59.999,523039971.28713,4022396,1539378572.0,248565018.93181,0
2025-11-05,0.16224,0.16886,0.15456,0.16719,1450649552.0,2025-11-05 23:59:59.999,237866129.35671,1995705,718006629.0,117804087.55873,0
2025-11-06,0.16718,0.1678,0.15693,0.16164,991019158.0,2025-11-06 23:59:59.999,160882419.0731,1587215,484917473.0,78718696.33641,0
2025-11-07,0.16164,0.18166,0.1596,0.17877,1612295661.0,2025-11-07 23:59:59.999,274447812.14544,2514764,821920238.0,140139713.17803,0
2025-11-08,0.17877,0.18332,0.173,0.17605,1232860279.0,2025-11-08 23:59:59.999,220196788.27929,1809853,574118081.0,102604557.89372,0
2025-11-09,0.17605,0.18158,0.17123,0.1793,824680933.0,2025-11-09 23:59:59.999,145583477.48335,1263036,424689755.0,75002258.17827,0
2025-11-10,0.1793,0.18575,0.17722,0.18179,1123195034.0,2025-11-10 23:59:59.999,203326142.68801,1766819,546154499.0,98917107.54017,0
2025-11-11,0.18178,0.1864,0.17154,0.17206,1194191122.0,2025-11-11 23:59:59.999,212793476.02652,1736558,522907388.0,93181666.79533,0
2025-11-12,0.17207,0.17855,0.16721,0.17018,974860769.0,2025-11-12 23:59:59.999,168173143.30219,1465940,486770012.0,83938319.82098,0
2025-11-13,0.17018,0.17766,0.16,0.16384,1568645541.0,2025-11-13 23:59:59.999,265963501.79588,2233294,741313006.0,125548645.90806,0
2025-11-14,0.16383,0.16628,0.15472,0.15765,1838238578.0,2025-11-14 23:59:59.999,297423027.04033,2502044,906671213.0,146787796.10209,0
2025-11-15,0.15765,0.16482,0.15721,0.16316,673862028.0,2025-11-15 23:59:59.999,109410937.29115,903438,302901265.0,49179294.05672,0
2025-11-16,0.16316,0.16563,0.1536,0.15857,1032632939.0,2025-11-16 23:59:59.999,164446278.80501,1460110,508542943.0,80998227.60197,0
2025-11-17,0.15856,0.1651,0.15066,0.15214,1608346754.0,2025-11-17 23:59:59.999,253950192.51438,2145355,764759059.0,120629897.1322,0
2025-11-18,0.15214,0.16294,0.14943,0.16173,1453866633.0,2025-11-18 23:59:59.999,227011193.46541,1803750,675422666.0,105433980.18207,0
2025-11-19,0.16172,0.1625,0.14712,0.1546,1411295703.0,2025-11-19 23:59:59.999,218131668.74551,1806737,724535935.0,111865871.6307,0
2025-11-20,0.15459,0.15972,0.14623,0.14892,1600374682.0,2025-11-20 23:59:59.999,245907244.87903,2008160,775072604.0,118904565.78885,0
2025-11-21,0.14892,0.15109,0.13321,0.14029,2835442265.0,2025-11-21 23:59:59.999,397756816.83951,3499278,1410564504.0,197659220.40253,0
2025-11-22,0.14029,0.1424,0.13549,0.14027,978144036.0,2025-11-22 23:59:59.999,135288111.48891,1479305,474072305.0,65537444.27807,0
2025-11-23,0.14027,0.14775,0.13966,0.145,846522905.0,2025-11-23 23:59:59.999,122133108.03203,1053125,414666348.0,59809653.07521,0
2025-11-24,0.145,0.15397,0.14279,0.15181,1133652374.0,2025-11-24 23:59:59.999,167653300.62482,1600326,553374743.0,81896231.53156,0
2025-11-25,0.1518,0.15504,0.14585,0.15301,936141701.0,2025-11-25 23:59:59.999,140700452.77329,1174781,471052901.0,70802948.31268,0
2025-11-26,0.15301,0.15681,0.14862,0.15474,858785986.0,2025-11-26 23:59:59.999,131087713.76661,1018475,404607217.0,61690086.34114,0
2025-11-27,0.15473,0.15559,0.1521,0.15264,442592040.0,2025-11-27 23:59:59.999,68040858.20601,581336,218694145.0,33627527.34619,0
2025-11-28,0.15264,0.15554,0.14825,0.15017,708146301.0,2025-11-28 23:59:59.999,107095802.04868,926224,326943506.0,49459797.90487,0
2025-11-29,0.15016,0.15095,0.14725,0.14837,301506106.0,2025-11-29 23:59:59.999,44925679.58414,409185,128397741.0,19135078.91574,0
2025-11-30,0.14837,0.15059,0.14588,0.14599,359178345.0,2025-11-30 23:59:59.999,53548691.72101,457849,168585917.0,25131915.95072,0
2025-12-01,0.14599,0.14637,0.13177,0.13547,1194651951.0,2025-12-01 23:59:59.999,163990841.14855,1472485,592595066.0,81261941.79874,0
2025-12-02,0.13546,0.14783,0.13443,0.14577,805736367.0,2025-12-02 23:59:59.999,114537885.31766,1069841,360028491.0,51143411.5755,0
2025-12-03,0.14578,0.1534,0.1452,0.15166,900651276.0,2025-12-03 23:59:59.999,134838064.56002,1035539,423210434.0,63376231.34346,0
2025-12-04,0.15167,0.1532,0.14557,0.14739,637362886.0,2025-12-04 23:59:59.999,95182658.60535,842424,295122166.0,44055200.49489,0
2025-12-05,0.14739,0.14838,0.13722,0.13956,719213185.0,2025-12-05 23:59:59.999,102375567.22146,938298,356658092.0,50731429.08547,0
2025-12-06,0.13956,0.14076,0.13836,0.13975,312444302.0,2025-12-06 23:59:59.999,43631044.40816,412351,167495556.0,23393126.89894,0
2025-12-07,0.13976,0.14291,0.13486,0.13867,638350242.0,2025-12-07 23:59:59.999,88448350.64566,849601,328945767.0,45591756.65629,0
2025-12-08,0.13868,0.14505,0.13799,0.14259,637568327.0,2025-12-08 23:59:59.999,90888154.74413,919954,306870184.0,43720399.72943,0
2025-12-09,0.1426,0.15319,0.13942,0.14797,993044372.0,2025-12-09 23:59:59.999,145567168.96872,1235272,482566597.0,70709485.30382,0
2025-12-10,0.14796,0.15031,0.14235,0.14332,770619026.0,2025-12-10 23:59:59.999,112877219.37327,1243644,384116332.0,56287381.15277,0
