bar_index,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10002.158543868227
76,9999.73796327017
77,9999.159412514142
78,9999.962562118742
79,9998.533422235685
80,9998.410972608897
81,10000.339575804042
82,9998.30673078426
83,9993.700070547133
84,9993.506267326671
85,9993.506267326671
86,9993.506267326671
87,9993.506267326671
88,9993.506267326671
89,9993.506267326671
90,9993.506267326671
91,9993.506267326671
92,9993.506267326671
93,9993.506267326671
94,9993.506267326671
95,9993.506267326671
96,9993.506267326671
97,9993.506267326671
98,9993.506267326671
99,9993.506267326671
100,9993.506267326671
101,9993.506267326671
102,9993.506267326671
103,9993.506267326671
104,9993.506267326671
105,9993.506267326671
106,9993.506267326671
107,9993.506267326671
108,9993.506267326671
109,9993.506267326671
110,9993.506267326671
111,9993.506267326671
112,9993.506267326671
113,9993.506267326671
114,9993.506267326671
115,9993.506267326671
116,9993.506267326671
117,9993.506267326671
118,9993.506267326671
119,9993.506267326671
120,9993.506267326671
121,9993.506267326671
122,9993.506267326671
123,9993.506267326671
124,9993.506267326671
125,9993.506267326671
126,9993.506267326671
127,9993.506267326671
128,9993.506267326671
129,9993.506267326671
130,9993.506267326671
131,9993.506267326671
132,9993.506267326671
133,9993.506267326671
134,9993.506267326671
135,9993.506267326671
136,9993.506267326671
137,9993.506267326671
138,9993.506267326671
139,9993.506267326671
140,9993.506267326671
141,9993.506267326671
142,9993.506267326671
143,9993.506267326671
144,9993.506267326671
145,9993.506267326671
146,9993.506267326671
147,9993.506267326671
148,9993.506267326671
149,9993.506267326671
150,9993.506267326671
151,9993.506267326671
152,9993.506267326671
153,9993.506267326671
154,9993.506267326671
155,9993.506267326671
156,9993.506267326671
157,9993.506267326671
158,9993.506267326671
159,9993.506267326671
160,9993.506267326671
161,9993.506267326671
162,9993.506267326671
163,9993.506267326671
164,9993.506267326671
165,9993.506267326671
166,9993.506267326671
167,9993.506267326671
168,9993.506267326671
169,9993.506267326671
170,9993.506267326671
171,9993.506267326671
172,9993.506267326671
173,9993.506267326671
174,9993.506267326671
175,9993.506267326671
176,9993.506267326671
177,9993.506267326671
178,9993.506267326671
179,9993.506267326671
